id,orf1,orf2,orf3
KJ407075,0-5100,5080-6703,6702-7509
KJ407073,0-5100,5080-6703,6702-7509
KT589391,3-5097,5077-6700,6699-7479
AB933771,0-5097,5080-6703,6702-7509
AB933770,0-5100,5080-6703,6702-7509
AB933769,0-5097,5080-6703,6702-7509
AB933768,0-5100,5080-6703,6702-7509
AB933767,0-5100,5080-6703,6702-7509
AB933766,0-5097,5080-6703,6702-7509
AB933765,0-5097,5080-6703,6702-7509
AB933764,0-5100,5080-6703,6702-7509
AB933763,0-5103,5083-6706,6705-7512
AB933762,0-5100,5080-6703,6702-7509
AB933761,0-5103,5083-6706,6705-7512
AB933760,0-5100,5080-6703,6702-7509
AB933759,0-5100,5080-6703,6702-7509
AB933758,0-5100,5080-6703,6702-7509
AB933757,0-5100,5080-6703,6702-7509
AB933756,0-5100,5080-6703,6702-7509
AB933755,0-5100,5080-6703,6702-7509
AB933754,0-5100,5080-6703,6702-7509
AB933753,0-5100,5080-6703,6702-7509
AB933752,0-5100,5080-6703,6702-7509
AB933751,0-5097,5080-6703,6702-7509
AB933750,0-5100,5080-6703,6702-7509
AB933749,0-5097,5080-6706,6705-7512
AB933748,0-5100,5080-6703,6702-7509
AB933747,0-5100,5080-6703,6702-7509
AB933746,0-5100,5080-6703,6702-7509
AB933745,0-5097,5080-6703,6702-7509
AB933744,0-5100,5080-6703,6702-7509
AB933743,0-5100,5080-6703,6702-7509
AB933742,0-5100,5080-6703,6702-7509
AB933741,0-5100,5080-6703,6702-7509
AB933740,0-5100,5080-6703,6702-7509
AB933739,0-5100,5080-6703,6702-7509
AB933738,0-5097,5080-6703,6702-7509
AB933737,0-5100,5080-6703,6702-7509
AB933736,0-5100,5080-6703,6702-7509
AB933735,0-5100,5080-6703,6702-7509
AB933734,0-5100,5080-6703,6702-7509
AB933733,0-5100,5080-6703,6702-7509
AB933732,0-5100,5080-6703,6702-7509
AB933731,0-5097,5077-6703,6702-7509
AB933730,0-5100,5080-6703,6702-7509
AB933729,0-5100,5080-6703,6702-7506
AB933728,0-5097,5080-6700,6699-7467
AB933727,0-5097,5080-6703,6702-7509
AB933726,0-5097,5080-6703,6702-7509
AB933725,0-5097,5080-6703,6702-7509
AB933724,0-5100,5080-6703,6702-7509
AB933723,0-5097,5080-6703,6702-7509
AB933722,0-5097,5080-6703,6702-7509
AB933721,0-5097,5080-6703,6702-7509
AB933720,0-5097,5080-6703,6702-7509
AB933719,0-5097,5080-6703,6702-7509
AB933718,0-5100,5080-6703,6702-7509
AB933717,0-5097,5080-6703,6702-7509
AB933716,0-5100,5080-6703,6702-7509
AB933715,0-5100,5080-6703,6702-7509
AB933714,0-5100,5080-6703,6702-7509
AB933713,0-5100,5080-6703,6702-7509
AB933712,0-5100,5080-6703,6702-7509
AB933711,0-5100,5080-6703,6702-7509
AB933710,0-5097,5080-6703,6702-7509
AB933709,0-5100,5080-6703,6702-7509
AB933708,0-5100,5080-6703,6702-7509
AB933707,0-5100,5080-6703,6702-7509
AB933706,0-5097,5080-6703,6702-7509
AB933705,0-5100,5080-6703,6702-7509
AB933704,0-5100,5080-6703,6702-7509
AB933703,0-5097,5080-6703,6702-7509
AB933702,0-5097,5080-6703,6702-7509
AB933701,0-5097,5080-6703,6702-7509
AB933700,0-5100,5080-6703,6702-7509
AB933699,0-5097,5080-6703,6702-7509
AB933698,0-5097,5080-6703,6702-7509
AB933697,0-5097,5080-6703,6702-7509
AB933696,0-5097,5080-6703,6702-7509
AB933695,0-5097,5080-6703,6702-7509
AB933694,0-5100,5080-6703,6702-7509
AB933693,0-5097,5080-6703,6702-7509
AB933692,0-5100,5080-6703,6702-7509
AB933691,0-5097,5080-6703,6702-7509
AB933690,0-5100,5080-6703,6702-7509
AB933689,0-5100,5080-6703,6702-7509
AB933688,0-5100,5080-6703,6702-7509
AB933687,0-5100,5080-6703,6702-7509
AB933686,0-5100,5080-6703,6702-7509
AB933685,0-5097,5080-6703,6702-7509
AB933684,0-5100,5080-6703,6702-7509
AB933683,0-5100,5080-6703,6702-7509
AB933682,0-5097,5080-6703,6702-7509
AB933681,0-5097,5080-6703,6702-7509
AB933680,0-5097,5080-6703,6702-7509
AB933679,0-5097,5080-6703,6702-7509
AB933678,0-5097,5080-6703,6702-7509
AB933677,0-5097,5080-6703,6702-7509
AB933676,0-5094,5077-6700,6699-7506
AB933675,0-5100,5080-6703,6702-7509
AB933674,0-5100,5080-6703,6702-7509
AB933673,0-5100,5080-6703,6702-7509
AB933672,0-5097,5080-6703,6702-7509
AB933671,0-5100,5080-6703,6702-7509
AB933670,0-5097,5080-6703,6702-7509
AB933669,0-5100,5080-6703,6702-7509
AB933668,0-5100,5080-6703,6702-7509
AB933667,0-5100,5080-6703,6702-7509
AB933666,0-5100,5080-6703,6702-7509
AB933665,0-5097,5080-6703,6702-7509
AB933664,0-5100,5080-6703,6702-7509
AB933663,0-5100,5080-6703,6702-7509
AB933662,0-5100,5080-6703,6702-7509
AB933661,0-5100,5080-6703,6702-7509
AB933660,0-5100,5080-6703,6702-7509
AB933659,0-5097,5080-6703,6702-7509
AB933658,0-5097,5080-6703,6702-7509
AB933657,0-5100,5080-6703,6702-7509
AB933656,0-5097,5080-6703,6702-7509
AB933655,0-5100,5080-6703,6702-7509
AB933654,0-5100,5080-6703,6702-7509
AB933653,0-5100,5080-6703,6702-7509
AB933652,0-5100,5080-6703,6702-7509
AB933651,0-5100,5080-6703,6702-7509
AB933650,0-5100,5080-6703,6702-7509
AB933649,0-5100,5080-6703,6702-7509
AB933648,0-5100,5080-6703,6702-7509
AB933647,0-5097,5080-6703,6702-7509
AB933646,0-5100,5080-6703,6702-7509
AB933645,0-5100,5080-6703,6702-7509
AB933644,0-5097,5080-6703,6702-7509
KC894731,4-5068,5048-6719,6718-7447
KJ196298,4-5404,5387-7019,7018-7660
LC066046,3-5094,5074-6697,6696-7503
KM258131,4-5104,5084-6707,6706-7513
KM258130,4-5104,5084-6707,6706-7513
KM258129,4-5104,5084-6707,6706-7513
KM258128,4-5104,5084-6707,6706-7513
KM245075,0-5088,5068-6691,6690-7494
KM036380,0-5088,5074-6697,6696-7428
KM036379,0-4833,4819-6436,6435-7146
KJ955493,4-5104,5084-6707,6706-7513
KJ955492,4-5104,5084-6707,6706-7513
HQ317203,5-5069,5055-6681,6680-7307
KP407451,4-5371,5354-6977,6976-7606
LN854572,4-5104,5084-6707,6706-7513
LN854571,4-5104,5084-6707,6706-7513
LN854570,4-5110,5090-6698,6697-7468
LN854569,4-5104,5084-6731,6730-7495
LN854568,4-5098,5078-6722,6721-7498
LN854567,4-5104,5084-6707,6706-7513
LN854566,4-5104,5084-6707,6706-7513
LN854565,2-5102,5082-6705,6704-7511
LN854564,4-5371,5354-6977,6976-7606
EU921389,4-5104,5084-6731,6730-7495
EU921388,4-5104,5084-6707,6706-7513
EU921344,4-5104,5084-6707,6706-7513
KR083017,2-5078,5058-6681,6680-7460
KM102450,5-5069,5055-6681,6680-7307
KM102449,5-5069,5055-6681,6680-7307
KR020503,0-5046,5026-6649,6648-7428
KJ710245,4-5104,5084-6707,6706-7513
KC962462,4-5104,5084-6707,6706-7513
KC962453,4-5104,5084-6707,6706-7510
JX145650,21-5076,5062-6631,6620-7271
LC043305,1-5092,5072-6689,6688-7468
LC043139,1-5092,5072-6689,6688-7468
KC517378,0-5100,5080-6703,6702-7509
KC517377,0-5100,5080-6703,6702-7509
KC517376,0-5100,5080-6703,6702-7509
KC517372,0-5100,5080-6703,6702-7509
KC517369,0-5100,5080-6703,6702-7509
KC517368,0-5100,5080-6703,6702-7509
KC517365,0-5100,5080-6703,6702-7509
KC517364,0-5100,5080-6703,6702-7509
KC517362,0-5100,5080-6703,6702-7509
KC517361,0-5100,5080-6703,6702-7509
KM272334,4-5104,5084-6707,6706-7513
KJ685417,0-5100,5080-6703,6702-7509
KJ685415,0-5100,5080-6703,6702-7509
KJ685414,0-5100,5080-6703,6702-7509
KJ685413,0-5100,5080-6703,6702-7509
KJ685412,0-5100,5080-6703,6702-7509
KJ685411,2-5033,5013-6636,6635-7442
KJ685409,1-5041,5021-6644,6643-7450
KJ685408,0-5100,5080-6703,6702-7509
KJ685406,2-5036,5016-6639,6638-7445
KJ685405,0-5100,5080-6703,6702-7509
KJ685403,0-5100,5080-6703,6702-7509
KJ685402,1-5041,5021-6644,6643-7450
KM458057,5-5069,5055-6675,6680-7307
KM198591,69-5088,5068-6691,6690-7431
KM198590,0-5100,5080-6727,6726-7419
KM198589,0-5100,5080-6703,6702-7443
KM198588,69-5088,5068-6691,6690-7431
KM198587,0-5100,5080-6703,6702-7414
KM198586,0-5097,5077-6724,6723-7422
KM198585,69-5088,5068-6691,6690-7431
KM198584,69-5088,5068-6691,6690-7431
KM198583,0-5100,5080-6727,6726-7425
KM198582,76-5095,5075-6698,6697-7438
KM198581,0-5100,5080-6703,6702-7443
KM198580,61-5080,5060-6683,6682-7423
KM198579,0-5100,5080-6703,6702-7443
KM198578,69-5088,5068-6691,6690-7431
KM198577,0-5100,5080-6703,6702-7443
KM198576,69-5088,5068-6691,6690-7431
KM198575,0-5100,5080-6703,6702-7443
KM198574,69-5088,5068-6691,6690-7431
KM198573,0-5100,5080-6727,6726-7419
KM198572,0-5100,5080-6727,6726-7425
KM198571,0-5100,5080-6703,6702-7443
KM198570,0-5100,5080-6703,6702-7443
KM198569,0-5100,5080-6703,6702-7414
KM198568,52-5071,5051-6674,6673-7303
KM198567,0-5100,5080-6703,6702-7443
KM198566,0-5100,5080-6703,6702-7443
KM198565,0-5100,5080-6703,6702-7443
KM198564,37-5056,5036-6659,6658-7399
KM198563,0-5100,5080-6727,6726-7275
KM198562,0-5100,5080-6703,6702-7443
KM198561,0-5100,5080-6727,6726-7425
KM198560,0-5100,5080-6703,6702-7443
KM198559,0-5100,5080-6703,6702-7443
KM198558,0-5100,5080-6703,6702-7443
KM198557,0-5100,5080-6703,6702-7443
KM198556,0-5100,5080-6703,6702-7443
KM198555,81-5088,5068-6691,6690-7431
KM198554,0-5100,5080-6727,6726-7421
KM198553,0-5100,5080-6727,6726-7425
KM198552,0-5100,5080-6703,6702-7413
KM198551,0-5100,5080-6703,6702-7443
KM198550,0-5100,5080-6703,6702-7434
KM198549,0-5094,5074-6724,6723-7434
KM198548,0-5100,5080-6703,6702-7443
KM198547,0-5100,5080-6727,6726-7421
KM198546,0-5100,5080-6703,6702-7414
KM198545,0-5100,5080-6703,6702-7443
KM198544,80-5087,5067-6690,6689-7430
KM198543,81-5088,5068-6691,6690-7431
KM198542,0-5100,5080-6703,6702-7443
KM198541,69-5088,5068-6691,6690-7431
KM198540,0-5100,5080-6703,6702-7443
KM198539,0-5100,5080-6703,6702-7413
KM198538,0-5100,5080-6703,6702-7443
KM198537,0-5100,5080-6703,6702-7443
KM198536,0-5100,5080-6703,6702-7443
KM198535,69-5088,5068-6691,6690-7431
KM198534,0-5094,5074-6727,6726-7440
KM198533,0-5100,5080-6703,6702-7443
KM198532,70-5089,5069-6692,6691-7432
KM198531,0-5094,5074-6724,6723-7437
KM198530,0-5094,5074-6724,6723-7437
KM198529,81-5088,5068-6715,6714-7413
KM198528,0-5100,5080-6727,6726-7425
KM198527,0-5100,5080-6703,6702-7443
KM198526,69-5088,5068-6691,6690-7431
KM198525,0-5100,5080-6703,6702-7443
KM198524,0-5100,5080-6703,6702-7443
KM198523,0-5100,5080-6703,6702-7443
KM198522,0-5100,5080-6703,6702-7443
KM198521,69-5088,5068-6691,6690-7431
KM198520,0-5100,5080-6703,6702-7443
KM198519,0-5094,5074-6727,6726-7440
KM198518,69-5088,5068-6691,6690-7431
KM198517,69-5088,5068-6691,6690-7431
KM198516,81-5088,5068-6691,6690-7431
KM198515,69-5088,5068-6691,6690-7431
KM198514,69-5088,5068-6691,6690-7431
KM198513,0-5100,5080-6703,6702-7443
KM198512,0-5100,5080-6703,6702-7443
KM198511,0-5100,5080-6727,6726-7425
KM198510,0-5100,5080-6703,6702-7443
KM198509,0-5100,5080-6727,6726-7425
KM198508,0-5100,5080-6703,6702-7443
KM198507,81-5088,5068-6691,6690-7431
KM198506,69-5088,5068-6691,6690-7431
KM198505,0-5100,5080-6727,6726-7425
KM198504,0-5100,5080-6703,6702-7443
KM198503,81-5094,5074-6682,6681-7365
KM198502,0-5100,5080-6703,6702-7443
KM198501,0-5100,5080-6703,6702-7443
KM198500,81-5088,5068-6715,6714-7413
KM198499,0-5100,5080-6703,6702-7443
KM198498,0-5094,5074-6727,6726-7440
KM198497,69-5088,5068-6691,6690-7431
KM198496,0-5100,5080-6727,6726-7425
KM198495,68-5087,5067-6690,6689-7430
KM198494,0-5100,5080-6703,6702-7443
KM198493,81-5088,5068-6715,6714-7413
KM198492,81-5094,5074-6682,6681-7366
KM198491,0-5100,5080-6703,6702-7443
KM198490,69-5088,5068-6691,6687-7431
KM198489,69-5088,5068-6691,6690-7431
KM198488,0-5100,5080-6703,6702-7443
KM198487,63-5082,5062-6685,6684-7425
KM198486,57-5076,5056-6679,6678-7419
KM198485,0-5100,5080-6703,6702-7443
KM198484,0-5100,5080-6727,6726-7425
KM198483,0-5100,5080-6703,6702-7414
KM198482,69-5088,5068-6691,6690-7431
KM198481,0-5100,5080-6703,6702-7443
KM198480,81-5100,5080-6703,6702-7443
KJ196299,4-5104,5084-6692,6691-7471
KJ196297,4-5098,5078-6689,6688-7483
KJ196296,4-5104,5084-6707,6706-7513
KJ196295,4-5098,5078-6701,6700-7474
KJ196294,4-5104,5084-6692,6691-7471
KJ196293,4-5104,5084-6707,6706-7513
KJ196291,4-5086,5069-6737,6736-7465
KJ196290,4-5101,5081-6749,6748-7480
KJ196289,4-5104,5084-6707,6706-7513
KJ196288,4-5098,5078-6701,6700-7477
KJ196287,4-5104,5084-6707,6706-7513
KJ196286,4-5101,5081-6704,6703-7480
KJ196285,4-5104,5084-6707,6706-7513
KJ196284,4-5104,5084-6704,6703-7462
KJ196283,4-5104,5084-6707,6706-7513
KJ196282,4-5104,5084-6692,6691-7471
KJ196281,4-5104,5084-6707,6706-7513
KJ196280,4-5104,5084-6707,6706-7513
KJ196279,4-5104,5084-6707,6706-7513
KJ196278,4-5098,5078-6689,6688-7483
KJ196277,4-5140,5120-6743,6742-7519
KJ196276,4-5104,5084-6713,6712-7447
KJ196292,4-5404,5387-7025,7024-7672
KJ649705,4-5104,5084-6707,6706-7513
KJ541743,4-5104,5084-6707,6706-7513
JX989075,4-5098,5078-6722,6721-7498
JX989074,4-5104,5084-6707,6706-7513
JX989073,2-5102,5082-6705,6704-7511
JQ613552,4-5104,5084-6707,6706-7513
JQ613568,4-5110,5090-6698,6697-7477
JQ613569,4-5110,5090-6698,6697-7477
JQ613567,4-5068,5048-6719,6718-7447
KF306214,4-5104,5084-6707,6706-7513
KF306213,4-5104,5084-6731,6730-7495
KF306212,4-5371,5354-6995,6994-7630
AB447456,4-5104,5084-6707,6706-7513
KJ194504,4-5113,5093-6740,6739-7504
KJ194500,0-5103,5083-6730,6729-7494
KF113526,5-5069,5055-6678,6677-7304
KC576915,2-5072,5052-6672,6671-7064
KC576913,3-4332,5673-6702,6701-7508
JX846927,4-5098,5078-6731,6730-7510
JN400619,0-5100,5080-6703,6702-7509
JN400618,0-5100,5080-6673,6672-7479
KC464505,0-5001,4981-6610,6609-7389
KC464500,0-5106,5086-6694,6693-7473
KC464499,0-5106,5086-6694,6693-7485
KC464498,0-5109,5089-6697,6696-7476
KC464497,0-5106,5086-6694,6693-7473
KC464496,0-5106,5086-6694,6693-7473
JN400626,0-5100,5080-6703,6702-7509
JN400625,0-5100,5080-6703,6702-7509
JN400624,0-5100,5080-6703,6702-7509
JN400623,0-5100,5080-6703,6702-7509
JN400622,0-5100,5080-6703,6702-7509
JN400621,0-5100,5080-6703,6702-7509
JN400620,0-5100,5080-6703,6702-7509
JN400617,0-5100,5080-6703,6702-7509
JN400616,0-5100,5080-6703,6702-7509
JN400615,0-5100,5080-6703,6702-7509
JN400614,0-5100,5080-6703,6702-7509
JN400613,0-5100,5080-6703,6702-7509
JN400612,0-5100,5080-6703,6702-7509
JN400611,0-5100,5080-6703,6702-7509
JN400610,0-5100,5080-6703,6702-7509
JN400609,0-5100,5080-6703,6702-7509
JN400608,0-5100,5080-6703,6702-7509
JN400607,0-5100,5080-6703,6702-7509
JN400606,0-5100,5080-6703,6702-7509
JN400605,0-5100,5080-6703,6702-7509
JN400604,0-5100,5080-6703,6699-7509
JN400603,0-5100,5080-6703,6702-7509
JN400602,0-5100,5080-6703,6702-7509
JN400601,0-5100,5080-6703,6702-7509
JN400600,0-5100,5080-6703,6702-7509
JN400599,0-5100,5080-6703,6702-7509
KC577175,4-5104,5084-6707,6706-7513
KC577174,4-5104,5084-6707,6706-7513
KF586507,4-5398,5381-7034,7033-7681
KC409317,2-5102,5082-6705,6704-7511
KF712510,0-5100,5080-6703,6702-7509
KF712507,0-5097,5077-6694,6693-7500
KF712506,2-5099,5079-6696,6695-7502
KF712505,0-5097,5077-6700,6699-7506
KF712504,0-5100,5080-6703,6702-7509
KF712503,2-5099,5079-6699,6698-7505
KF712502,0-5100,5080-6703,6702-7509
KF712501,0-5100,5080-6703,6702-7509
KF712500,0-5097,5077-6694,6693-7500
KF712499,0-5100,5080-6697,6696-7503
KF712498,0-5100,5080-6703,6702-7509
KF712497,0-5100,5080-6703,6702-7509
KF712496,0-5100,5080-6703,6702-7509
KF712495,2-5099,5079-6702,6701-7508
KF712493,2-5099,5079-6699,6698-7505
KF712492,0-4872,4852-6472,6471-7278
KF712491,0-5100,5080-6703,6702-7509
KF429791,1-5038,5018-6638,6637-7444
KF429790,0-5100,5080-6703,6702-7509
KF429788,0-5100,5080-6703,6702-7503
KF429787,0-5100,5080-6700,6699-7506
KF429782,2-5057,5037-6660,6659-7466
KF429778,0-5100,5080-6703,6702-7509
KF429777,0-5100,5080-6703,6702-7509
KF429776,0-5100,5080-6703,6702-7509
KF429768,0-5100,5080-6697,6696-7503
KF429766,0-5100,5080-6703,6702-7509
KF429765,0-5370,5353-6946,6945-7584
KF429762,0-5100,5080-6703,6702-7481
KF429760,0-5100,5080-6700,6699-7506
KF039737,0-5370,5353-6946,6945-7584
KF039736,0-5370,5353-6946,6945-7584
KF039735,0-5370,5353-6946,6945-7584
KF039734,0-5370,5353-6946,6945-7584
KF039733,0-5370,5353-6946,6945-7584
KF039732,0-5370,5353-6946,6945-7584
KF039731,0-5370,5353-6946,6945-7584
KF039730,0-5370,5353-6946,6945-7584
KF039729,0-5370,5353-6946,6945-7584
KF039728,0-5370,5353-6946,6945-7584
KF039727,0-5370,5353-6946,6945-7584
KF039726,0-5370,5353-6946,6945-7584
KF039725,0-5370,5353-6946,6945-7584
JX846928,1-5068,5048-6671,6670-7477
JX846925,4-5104,5084-6713,6712-7492
JX846924,4-5110,5090-6737,6736-7501
KC576912,0-5100,5080-6703,6702-7509
KC576909,0-5100,5080-6703,6702-7509
KC792553,5-5069,5055-6681,6680-7307
KC782764,5-5069,5055-6681,6680-7307
KC631815,3-5097,5077-6700,6699-7506
KC631814,4-5104,5084-6707,6706-7513
KF429789,1-5371,5354-6947,6946-7585
KF429783,1-5371,5354-6947,6946-7585
KF429774,1-5371,5354-6947,6946-7585
KF429773,4-5374,5357-6950,6949-7588
KF429770,4-5374,5357-6950,6949-7588
KF429761,1-5371,5354-6947,6946-7585
KC894943,2-5102,5082-6705,6704-7511
KC894942,2-5102,5082-6705,6704-7511
JX439819,4-5104,5084-6707,6706-7513
JX439818,4-5104,5084-6707,6706-7513
JX439817,4-5104,5084-6707,6706-7513
JX439816,4-5104,5084-6707,6706-7513
JX439815,4-5104,5084-6707,6706-7513
JX448566,4-5104,5084-6707,6706-7513
KC810032,4-5104,5084-6707,6706-7513
KC810031,4-5104,5084-6707,6706-7513
KC810030,4-5104,5084-6707,6706-7513
KC810029,4-5104,5084-6707,6706-7513
KC810028,4-5104,5084-6707,6706-7219
KC810027,4-5104,5084-6707,6706-7513
KC810026,4-5104,5084-6707,6706-7513
KC810025,4-5104,5084-6707,6706-7513
KC810024,4-5104,5084-6707,6706-7513
KC810022,4-5104,5084-6707,6706-7513
KC810021,4-5104,5084-6707,6706-7513
KC810020,4-5104,5084-6707,6706-7513
HF952135,4-5104,5084-6707,6706-7513
HF952134,4-5104,5084-6707,6706-7513
HF952133,4-5104,5084-6707,6706-7513
HF952132,4-5104,5084-6707,6706-7513
HF952131,4-5104,5084-6707,6706-7513
HF952130,4-5104,5084-6707,6706-7513
HF952129,2-5093,5073-6696,6695-7502
HF952128,4-5104,5084-6707,6706-7513
HF952127,4-5104,5084-6707,6706-7513
HF952126,4-5104,5084-6707,6706-7513
HF952125,4-5104,5084-6707,6706-7513
HF952124,4-5104,5084-6707,6706-7513
HF952123,4-5104,5084-6707,6706-7513
HF952122,4-5104,5084-6707,6706-7513
HF952121,4-5104,5084-6707,6706-7513
HF952120,4-5104,5084-6707,6706-7513
HF952119,4-5104,5084-6707,6706-7513
KC631827,4-5104,5084-6707,6706-7513
KC662537,4-5104,5084-6713,6712-7447
JX459908,4-5104,5084-6707,6706-7513
JX459907,4-5104,5084-6707,6706-7513
JX459906,4-5104,5084-6707,6706-7513
JX459905,4-5104,5084-6707,6706-7513
JX459904,4-5104,5084-6707,6706-7513
JX459903,4-5104,5084-6707,6706-7513
JX459902,4-5104,5084-6707,6706-7513
JX459901,4-5104,5084-6707,6706-7513
JX459900,4-5104,5084-6707,6706-7513
JQ613573,4-5104,5084-6707,6706-7513
JQ613572,4-5104,5084-6707,6706-7513
JQ613571,4-5104,5084-6707,6706-7513
JQ613570,4-5104,5084-6707,6706-7513
HM748973,4-5104,5084-6707,6706-7513
HM748972,4-5104,5084-6707,6706-7513
HM748971,4-5104,5084-6707,6706-7513
KC960616,0-5070,5050-6673,6672-7479
KC960615,2-5102,5082-6705,6704-7511
KC960614,1-5038,5209-6640,6639-7299
KC463910,4-5104,5084-6707,6706-7513
KC597139,4-5104,5084-6707,6706-7441
KC409318,2-5102,5082-6705,6704-7511
KC409316,2-5102,5082-6705,6704-7511
KC409315,2-5102,5082-6705,6704-7511
KC409314,2-5102,5082-6705,6704-7511
KC409313,2-5102,5082-6705,6704-7511
KC409312,2-5102,5082-6705,6704-7511
KC409311,0-5100,5080-6703,6702-7509
KC409310,2-5102,5082-6705,6704-7511
KC409309,2-5102,5082-6705,6704-7511
KC409308,2-5102,5082-6705,6704-7511
KC409307,2-5102,5082-6705,6704-7511
KC409306,2-5102,5082-6705,6704-7511
KC409305,2-5102,5082-6705,6704-7511
KC409304,2-5102,5082-6705,6704-7511
KC409303,2-5102,5082-6705,6704-7511
KC409300,2-5102,5082-6705,6704-7511
KC409299,2-5102,5082-6705,6704-7511
KC409298,2-5102,5082-6705,6704-7511
KC409297,2-5102,5082-6705,6704-7511
KC409296,2-5102,5082-6705,6704-7511
KC409295,2-5102,5082-6705,6704-7511
KC409294,2-5102,5082-6705,6704-7511
KC409293,2-5102,5082-6705,6704-7511
KC409292,2-5102,5082-6705,6704-7511
KC409291,2-5102,5082-6705,6704-7511
KC409290,2-5102,5082-6705,6704-7511
KC409289,2-5102,5082-6705,6704-7511
KC409288,2-5102,5082-6705,6704-7511
KC409287,2-5102,5082-6705,6704-7511
KC409286,2-5102,5082-6705,6704-7511
KC409285,2-5102,5082-6705,6704-7511
KC409284,2-5102,5082-6705,6704-7511
KC409283,2-5102,5082-6705,6704-7511
KC409282,2-5102,5082-6705,6704-7511
KC409281,2-5102,5082-6705,6704-7511
KC409280,2-5102,5082-6705,6704-7511
KC409279,2-5102,5082-6705,6704-7511
KC409278,2-5102,5082-6705,6704-7511
KC409277,2-5102,5082-6705,6704-7511
KC409276,2-5102,5082-6705,6704-7511
KC409275,2-5102,5082-6705,6704-7511
KC409274,2-5102,5082-6705,6704-7511
KC409273,2-5102,5082-6705,6704-7511
KC409272,2-5102,5082-6705,6704-7511
KC409271,2-5102,5082-6705,6704-7511
KC409270,2-5102,5082-6705,6704-7511
KC409269,2-5102,5082-6705,6704-7511
KC409268,2-5102,5082-6705,6704-7511
KC409267,2-5102,5082-6705,6704-7511
KC409266,2-5102,5082-6705,6704-7511
KC409265,2-5102,5082-6705,6704-7511
KC409264,2-5102,5082-6705,6704-7511
KC409263,2-5102,5082-6705,6704-7511
KC409262,2-5102,5082-6705,6704-7511
KC409261,2-5102,5082-6705,6704-7511
KC409260,2-5102,5082-6705,6704-7511
KC409259,2-5102,5082-6705,6704-7511
KC409258,2-5102,5082-6705,6704-7511
KC409257,2-5102,5082-6705,6704-7511
KC409256,2-5102,5082-6705,6704-7511
KC409255,2-5102,5082-6705,6704-7511
KC409254,2-5102,5082-6705,6704-7511
KC409253,2-5102,5082-6705,6704-7511
KC409252,2-5102,5082-6705,6704-7511
KC409251,2-5102,5082-6705,6704-7511
KC409250,2-5102,5082-6705,6704-7511
KC409249,2-5102,5082-6705,6704-7511
KC409248,2-5102,5082-6705,6704-7511
KC409247,2-5102,5082-6705,6704-7511
KC409246,2-5102,5082-6705,6704-7511
KC409245,2-5102,5082-6705,6704-7511
KC409244,2-5102,5082-6705,6704-7511
KC409243,0-5100,5080-6703,6702-7509
KC409242,0-5100,5080-6703,6702-7509
KC409241,2-5102,5082-6705,6704-7511
KC409240,2-5102,5082-6705,6704-7511
KC409239,2-5102,5082-6705,6704-7511
KC409238,2-5102,5082-6705,6704-7511
KC175410,2-5102,5082-6705,6704-7511
KC175409,2-5102,5082-6705,6704-7511
KC175408,2-5102,5082-6705,6704-7511
KC175407,2-5102,5082-6705,6704-7511
KC175406,2-5102,5082-6705,6704-7511
KC175405,2-5102,5082-6705,6704-7511
KC175404,2-5102,5082-6705,6704-7511
KC175403,2-5102,5082-6705,6704-7511
KC175402,2-5102,5082-6705,6704-7511
KC175401,2-5102,5082-6705,6704-7511
KC175400,2-5102,5082-6705,6704-7511
KC175399,2-5102,5082-6705,6704-7511
KC175398,2-5102,5082-6705,6704-7511
KC175397,2-5102,5082-6705,6704-7511
KC175396,2-5102,5082-6705,6704-7511
KC175395,2-5102,5082-6705,6704-7511
KC175394,2-5102,5082-6705,6704-7511
KC175393,2-5102,5082-6705,6704-7511
KC175392,2-5102,5082-6705,6704-7511
KC175391,2-5102,5082-6705,6704-7511
KC175390,2-5102,5082-6705,6704-7511
KC175389,2-5102,5082-6705,6704-7511
KC175388,2-5102,5082-6705,6704-7511
KC175387,2-5102,5082-6705,6704-7511
KC175386,2-5102,5082-6705,6704-7511
KC175385,2-5102,5082-6705,6704-7511
KC175384,2-5102,5082-6705,6704-7511
KC175383,2-5102,5082-6705,6704-7511
KC175382,2-5102,5082-6705,6704-7511
KC175381,2-5102,5082-6705,6704-7511
KC175380,2-5102,5082-6705,6704-7511
KC175379,2-5102,5082-6705,6704-7511
KC175378,2-5102,5082-6705,6704-7511
KC175377,2-5102,5082-6705,6704-7511
KC175376,2-5102,5082-6705,6704-7511
KC175375,2-5102,5082-6705,6704-7511
KC175374,2-5102,5082-6705,6704-7511
KC175373,2-5102,5082-6705,6704-7511
KC175372,2-5102,5082-6705,6704-7511
KC175371,2-5102,5082-6705,6704-7511
KC175370,2-5102,5082-6705,6704-7511
KC175369,2-5102,5082-6705,6704-7511
KC175368,2-5102,5082-6705,6704-7511
KC175367,2-5102,5082-6705,6704-7511
KC175366,2-5102,5082-6705,6704-7511
KC175365,2-5102,5082-6705,6704-7511
KC175364,2-5102,5082-6705,6704-7511
KC175363,2-5102,5082-6705,6704-7511
KC175362,2-5102,5082-6705,6704-7511
KC175361,2-5102,5082-6705,6704-7511
KC175360,2-5102,5082-6705,6704-7511
KC175359,2-5102,5082-6705,6704-7511
KC175358,2-5102,5082-6705,6704-7511
KC175357,2-5102,5082-6705,6704-7511
